clock,period,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,shotValue
PT10M40.00S,2,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,Nembhard Bad Pass Turnover (P1.T6),Turnover,Bad Pass,0
PT10M40.00S,2,CHI,1631338,Gueye,M. Gueye,0,0,0,,0,,,0,v,Gueye STEAL (1 STL),,,0
PT10M34.00S,2,CHI,1630200,Jones,T. Jones,-229,-5,0,Missed,1,,,0,v,MISS Jones 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,3
PT10M31.00S,2,DAL,1641890,Smith,T. Smith,0,0,0,,0,,,0,h,Smith REBOUND (Off:1 Def:3),Rebound,Unknown,0
PT10M23.00S,2,DAL,1642843,Flagg,C. Flagg,70,78,10,Missed,1,,,0,h,MISS Flagg 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,2
PT10M20.00S,2,DAL,1642843,Flagg,C. Flagg,0,0,0,,0,,,0,h,Flagg REBOUND (Off:1 Def:3),Rebound,Unknown,0
PT10M20.00S,2,DAL,1642843,Flagg,C. Flagg,0,0,0,Missed,1,,,0,h,MISS Flagg Tip Layup Shot,Missed Shot,Tip Layup Shot,2
PT10M20.00S,2,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Powell REBOUND (Off:1 Def:3),Rebound,Unknown,0
PT10M15.00S,2,DAL,1641890,Smith,T. Smith,2,-5,1,Made,1,52,36,88,h,Smith 1' Cutting Dunk Shot (10 PTS) (Nembhard 6 AST),Made Shot,Cutting Dunk Shot,2
PT10M11.00S,2,DAL,1642967,Poulakidas,J. Poulakidas,0,0,0,,0,,,0,h,Poulakidas Personal Take Foul (P2.T1) (J.Butler),Foul,Personal Take,0
PT10M11.00S,2,DAL,1642843,Flagg,C. Flagg,0,0,0,,0,,,0,h,SUB: Christie FOR Flagg,Substitution,,0
PT09M54.00S,2,CHI,1642530,Kawamura,Y. Kawamura,-42,133,14,Missed,1,,,0,v,MISS Kawamura 14' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,2
PT09M52.00S,2,DAL,1641890,Smith,T. Smith,0,0,0,,0,,,0,h,Smith REBOUND (Off:1 Def:4),Rebound,Unknown,0
PT09M42.00S,2,DAL,1642967,Poulakidas,J. Poulakidas,-91,235,25,Missed,1,,,0,h,MISS Poulakidas 25' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT09M38.00S,2,CHI,1631159,Miller,L. Miller,0,0,0,,0,,,0,v,Miller REBOUND (Off:0 Def:2),Rebound,Unknown,0
PT09M31.00S,2,CHI,1642265,Dillingham,R. Dillingham,0,0,0,,0,,,0,v,Dillingham Lost Ball Turnover (P2.T4),Turnover,Lost Ball,0
PT09M31.00S,2,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Powell STEAL (1 STL),,,0
PT09M26.00S,2,DAL,1641890,Smith,T. Smith,0,0,0,,0,,,0,h,Smith Lost Ball Turnover (P1.T7),Turnover,Lost Ball,0
PT09M26.00S,2,CHI,1630200,Jones,T. Jones,0,0,0,,0,,,0,v,Jones STEAL (1 STL),,,0
PT09M21.00S,2,CHI,1642265,Dillingham,R. Dillingham,10,-4,1,Made,1,52,38,90,v,Dillingham 1' Running Layup (11 PTS) (Jones 1 AST),Made Shot,Running Layup Shot,2
PT09M02.00S,2,DAL,1641890,Smith,T. Smith,-234,-15,0,Missed,1,,,0,h,MISS Smith 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,3
PT08M59.00S,2,CHI,1642265,Dillingham,R. Dillingham,0,0,0,,0,,,0,v,Dillingham REBOUND (Off:0 Def:4),Rebound,Unknown,0
PT08M51.00S,2,CHI,1642265,Dillingham,R. Dillingham,-37,125,13,Made,1,52,40,92,v,Dillingham 13' Pullup Jump Shot (13 PTS),Made Shot,Pullup Jump shot,2
PT08M39.00S,2,DAL,1631108,Christie,M. Christie,27,11,3,Made,1,54,40,94,h,Christie 3' Driving Finger Roll Layup (10 PTS) (Nembhard 7 AST),Made Shot,Driving Finger Roll Layup Shot,2
PT08M39.00S,2,CHI,1631338,Gueye,M. Gueye,0,0,0,,0,,,0,v,Gueye S.FOUL (P2.T1) (M.Kogut),Foul,Shooting,0
