clock,period,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,shotValue
PT10M59.00S,4,CHI,1642530,Kawamura,Y. Kawamura,-99,229,25,Made,1,119,91,210,v,Kawamura 25' 3PT Jump Shot (3 PTS) (Williams 4 AST),Made Shot,Jump Shot,3
PT10M36.00S,4,DAL,1642948,Nembhard,R. Nembhard,-119,17,12,Made,1,121,91,212,h,Nembhard 12' Fadeaway Jumper (12 PTS),Made Shot,Fadeaway Jump Shot,2
PT10M18.00S,4,CHI,1642530,Kawamura,Y. Kawamura,147,215,26,Made,1,121,94,215,v,Kawamura 26' 3PT Jump Shot (6 PTS) (Olbrich 6 AST),Made Shot,Jump Shot,3
PT10M01.00S,4,DAL,1642358,Johnson,A. Johnson,-16,268,27,Missed,1,,,0,h,MISS Johnson 27' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT09M59.00S,4,CHI,1630172,Williams,P. Williams,0,0,0,,0,,,0,v,Williams REBOUND (Off:0 Def:3),Rebound,Unknown,0
PT09M44.00S,4,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,Olbrich Out of Bounds - Bad Pass Turnover Turnover (P1.T12),Turnover,Out of Bounds - Bad Pass Turnover,0
PT09M29.00S,4,DAL,1642358,Johnson,A. Johnson,0,0,0,,0,,,0,h,Johnson Offensive Charge Foul (P5) (M.Kogut),Foul,Offensive Charge,0
PT09M29.00S,4,DAL,1642358,Johnson,A. Johnson,0,0,0,,0,,,0,h,Johnson Offensive Foul Turnover (P5.T16),Turnover,Offensive Foul Turnover,0
PT09M29.00S,4,DAL,1642358,Johnson,A. Johnson,0,0,0,,0,,,0,h,SUB: Powell FOR Johnson,Substitution,,0
PT09M11.00S,4,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse P.FOUL (P4.T1) (J.Butler),Foul,Personal,0
PT09M11.00S,4,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,Nembhard AWAY.FROM.PLAY.FOUL (P1.T2) (J.Butler),Foul,Away From Play,0
PT09M11.00S,4,,600,,,0,0,0,,0,121,94,215,,Instant Replay4th Period (10:24 PM EST),Instant Replay,Ruling Stands,0
PT09M11.00S,4,CHI,1642530,Kawamura,Y. Kawamura,0,0,0,,0,121,95,216,v,Kawamura Free Throw 1 of 1 (7 PTS),Free Throw,Free Throw 1 of 1,0
PT09M04.00S,4,CHI,1642530,Kawamura,Y. Kawamura,-81,241,25,Made,1,121,98,219,v,Kawamura 25' 3PT Pullup Jump Shot (10 PTS) (Olbrich 7 AST),Made Shot,Pullup Jump shot,3
PT08M50.00S,4,DAL,1642967,Poulakidas,J. Poulakidas,87,246,26,Missed,1,,,0,h,MISS Poulakidas 26' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT08M49.00S,4,,1610612742,,,0,0,0,,0,,,0,h,MAVERICKS Rebound,Rebound,Unknown,0
PT08M47.00S,4,DAL,203939,Powell,D. Powell,5,7,1,Made,1,123,98,221,h,Powell 1' Cutting Layup Shot (4 PTS) (Nembhard 20 AST),Made Shot,Cutting Layup Shot,2
PT08M36.00S,4,CHI,1631338,Gueye,M. Gueye,-12,260,26,Missed,1,,,0,v,MISS Gueye 26' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT08M34.00S,4,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,Olbrich REBOUND (Off:5 Def:4),Rebound,Unknown,0
PT08M33.00S,4,CHI,1642950,Olbrich,L. Olbrich,0,0,0,Missed,1,,,0,v,MISS Olbrich Tip Layup Shot,Missed Shot,Tip Layup Shot,2
PT08M32.00S,4,CHI,1629012,Sexton,C. Sexton,0,0,0,,0,,,0,v,Sexton REBOUND (Off:1 Def:1),Rebound,Unknown,0
PT08M21.00S,4,CHI,1630172,Williams,P. Williams,0,0,0,,0,,,0,v,Williams Lost Ball Turnover (P2.T13),Turnover,Lost Ball,0
PT08M21.00S,4,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse STEAL (2 STL),,,0
PT08M12.00S,4,DAL,1630619,Cisse,M. Cisse,-11,22,2,Missed,1,,,0,h,MISS Cisse 2' Alley Oop Dunk,Missed Shot,Alley Oop Dunk Shot,2
PT08M10.00S,4,CHI,1629012,Sexton,C. Sexton,0,0,0,,0,,,0,v,Sexton REBOUND (Off:1 Def:2),Rebound,Unknown,0
PT08M08.00S,4,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Powell S.FOUL (P3.T3) (M.Kogut),Foul,Shooting,0
PT08M08.00S,4,CHI,1631338,Gueye,M. Gueye,0,0,0,,0,123,99,222,v,Gueye Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0
PT08M08.00S,4,CHI,1630172,Williams,P. Williams,0,0,0,,0,,,0,v,SUB: Miller FOR Williams,Substitution,,0
PT08M08.00S,4,CHI,1631338,Gueye,M. Gueye,0,0,0,,0,,,0,v,MISS Gueye Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0
PT08M06.00S,4,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Powell REBOUND (Off:2 Def:9),Rebound,Unknown,0
PT07M53.00S,4,DAL,203939,Powell,D. Powell,230,38,0,Made,1,126,99,225,h,Powell 3PT Jump Shot (7 PTS) (Poulakidas 4 AST),Made Shot,Jump Shot,3
PT07M39.00S,4,CHI,1642530,Kawamura,Y. Kawamura,-82,234,25,Missed,1,,,0,v,MISS Kawamura 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,3
PT07M36.00S,4,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Powell REBOUND (Off:2 Def:10),Rebound,Unknown,0
PT07M26.00S,4,CHI,1642530,Kawamura,Y. Kawamura,0,0,0,,0,,,0,v,Kawamura P.FOUL (P1.T1) (J.Butler),Foul,Personal,0
PT07M26.00S,4,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,SUB: Williams FOR Olbrich,Substitution,,0
PT07M14.00S,4,DAL,1642967,Poulakidas,J. Poulakidas,228,122,26,Missed,1,,,0,h,MISS Poulakidas 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,3
PT07M11.00S,4,CHI,1642530,Kawamura,Y. Kawamura,0,0,0,,0,,,0,v,Kawamura REBOUND (Off:0 Def:2),Rebound,Unknown,0
PT07M08.00S,4,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Powell S.FOUL (P4.T4) (J.Butler),Foul,Shooting,0
PT07M08.00S,4,CHI,1631338,Gueye,M. Gueye,0,0,0,,0,126,100,226,v,Gueye Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0
PT07M08.00S,4,CHI,1631338,Gueye,M. Gueye,0,0,0,,0,126,101,227,v,Gueye Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0
PT06M54.00S,4,CHI,1631159,Miller,L. Miller,0,0,0,,0,,,0,v,Miller P.FOUL (P3.T2) (J.Butler),Foul,Personal,0
PT06M54.00S,4,,1610612742,,,0,0,0,,0,,,0,h,MAVERICKS Timeout: Regular (Full 4 Short 0),Timeout,Regular,0
PT06M54.00S,4,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,SUB: Johnson FOR Powell,Substitution,,0
PT06M54.00S,4,CHI,1629012,Sexton,C. Sexton,0,0,0,,0,,,0,v,SUB: McClung FOR Sexton,Substitution,,0
PT06M54.00S,4,CHI,1642530,Kawamura,Y. Kawamura,0,0,0,,0,,,0,v,SUB: Dillingham FOR Kawamura,Substitution,,0
PT06M42.00S,4,DAL,1642358,Johnson,A. Johnson,10,10,1,Made,1,128,101,229,h,Johnson 1' Reverse Layup (15 PTS) (Nembhard 21 AST),Made Shot,Reverse Layup Shot,2
PT06M29.00S,4,CHI,1630172,Williams,P. Williams,5,3,1,Made,1,128,103,231,v,Williams 1' Driving Reverse Layup (12 PTS),Made Shot,Driving Reverse Layup Shot,2
PT06M29.00S,4,DAL,1641890,Smith,T. Smith,0,0,0,,0,,,0,h,Smith S.FOUL (P2.PN) (J.Butler),Foul,Shooting,0
PT06M29.00S,4,CHI,1630172,Williams,P. Williams,0,0,0,,0,128,104,232,v,Williams Free Throw 1 of 1 (13 PTS),Free Throw,Free Throw 1 of 1,0
PT06M07.00S,4,DAL,1642358,Johnson,A. Johnson,38,22,4,Missed,1,,,0,h,MISS Johnson 4' Driving Bank Hook Shot,Missed Shot,Driving Bank Hook Shot,2
PT06M05.00S,4,CHI,1630172,Williams,P. Williams,0,0,0,,0,,,0,v,Williams REBOUND (Off:0 Def:4),Rebound,Unknown,0
PT06M01.00S,4,CHI,1631338,Gueye,M. Gueye,1,5,1,Made,1,128,106,234,v,Gueye 1' Running Alley Oop Dunk Shot (7 PTS) (Williams 5 AST),Made Shot,Running Alley Oop Dunk Shot,2
PT05M47.00S,4,DAL,1642967,Poulakidas,J. Poulakidas,-180,174,25,Missed,1,,,0,h,MISS Poulakidas 25' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT05M42.00S,4,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse REBOUND (Off:7 Def:9),Rebound,Unknown,0
PT05M42.00S,4,DAL,1630619,Cisse,M. Cisse,0,0,0,Made,1,130,106,236,h,Cisse Tip Layup Shot (12 PTS),Made Shot,Tip Layup Shot,2
PT05M34.00S,4,CHI,1631338,Gueye,M. Gueye,5,5,1,Made,1,130,108,238,v,Gueye 1' Cutting Finger Roll Layup Shot (9 PTS) (Dillingham 4 AST),Made Shot,Cutting Finger Roll Layup Shot,2
PT05M28.00S,4,DAL,1641890,Smith,T. Smith,0,0,0,,0,,,0,h,Smith Lost Ball Turnover (P2.T17),Turnover,Lost Ball,0
PT05M28.00S,4,CHI,1630172,Williams,P. Williams,0,0,0,,0,,,0,v,Williams STEAL (3 STL),,,0
PT05M19.00S,4,CHI,1631159,Miller,L. Miller,118,218,25,Missed,1,,,0,v,MISS Miller 25' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT05M16.00S,4,CHI,1631159,Miller,L. Miller,0,0,0,,0,,,0,v,Miller REBOUND (Off:2 Def:5),Rebound,Unknown,0
PT05M14.00S,4,CHI,1631159,Miller,L. Miller,-10,-8,1,Made,1,130,110,240,v,Miller 1' Putback Layup (17 PTS),Made Shot,Putback Layup Shot,2
PT04M54.00S,4,DAL,1630619,Cisse,M. Cisse,-67,45,8,Missed,1,,,0,h,MISS Cisse 8' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,2
PT04M53.00S,4,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse REBOUND (Off:8 Def:9),Rebound,Unknown,0
PT04M52.00S,4,DAL,1630619,Cisse,M. Cisse,10,25,3,Missed,1,,,0,h,MISS Cisse 3' Putback Layup,Missed Shot,Putback Layup Shot,2
PT04M52.00S,4,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse REBOUND (Off:9 Def:9),Rebound,Unknown,0
PT04M50.00S,4,DAL,1630619,Cisse,M. Cisse,2,12,1,Made,1,132,110,242,h,Cisse 1' Putback Layup (14 PTS),Made Shot,Putback Layup Shot,2
PT04M41.00S,4,DAL,1641890,Smith,T. Smith,0,0,0,,0,,,0,h,Smith S.FOUL (P3.PN) (M.Kogut),Foul,Shooting,0
PT04M41.00S,4,CHI,1642265,Dillingham,R. Dillingham,0,0,0,,0,,,0,v,MISS Dillingham Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0
PT04M41.00S,4,,1610612741,,,0,0,0,,0,,,0,v,Bulls Rebound,Rebound,Normal Rebound,0
PT04M41.00S,4,CHI,1631338,Gueye,M. Gueye,0,0,0,,0,,,0,v,SUB: Olbrich FOR Gueye,Substitution,,0
PT04M41.00S,4,CHI,1630172,Williams,P. Williams,0,0,0,,0,,,0,v,SUB: Kawamura FOR Williams,Substitution,,0
PT04M41.00S,4,CHI,1642265,Dillingham,R. Dillingham,0,0,0,,0,132,111,243,v,Dillingham Free Throw 2 of 2 (25 PTS),Free Throw,Free Throw 2 of 2,0
PT04M30.00S,4,DAL,1630619,Cisse,M. Cisse,-16,31,3,Missed,1,,,0,h,MISS Cisse 3' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,2
PT04M29.00S,4,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,Nembhard REBOUND (Off:2 Def:6),Rebound,Unknown,0
PT04M27.00S,4,DAL,1641890,Smith,T. Smith,0,0,0,,0,,,0,h,Smith Offensive Charge Foul (P4) (M.Kogut),Foul,Offensive Charge,0
PT04M27.00S,4,DAL,1641890,Smith,T. Smith,0,0,0,,0,,,0,h,Smith Offensive Foul Turnover (P3.T18),Turnover,Offensive Foul Turnover,0
PT04M14.00S,4,CHI,1642530,Kawamura,Y. Kawamura,-150,216,26,Missed,1,,,0,v,MISS Kawamura 26' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT04M13.00S,4,,1610612741,,,0,0,0,,0,,,0,v,Bulls Rebound,Rebound,Unknown,0
PT04M13.00S,4,DAL,1641890,Smith,T. Smith,0,0,0,,0,,,0,h,Smith L.B.FOUL (P5.PN) (B.Taylor),Foul,Loose Ball,0
PT04M13.00S,4,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,132,112,244,v,Olbrich Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0
PT04M13.00S,4,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,132,113,245,v,Olbrich Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0
PT03M57.00S,4,DAL,1642358,Johnson,A. Johnson,-223,16,0,Missed,1,,,0,h,MISS Johnson 3PT Jump Shot,Missed Shot,Jump Shot,3
PT03M54.00S,4,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,Olbrich REBOUND (Off:5 Def:5),Rebound,Unknown,0
PT03M49.00S,4,CHI,1642530,Kawamura,Y. Kawamura,-2,117,12,Made,1,132,115,247,v,Kawamura 12' Running Pull-Up Jump Shot (12 PTS) (Olbrich 8 AST),Made Shot,Running Pull-Up Jump Shot,2
PT03M33.00S,4,DAL,1642948,Nembhard,R. Nembhard,-13,95,10,Missed,1,,,0,h,MISS Nembhard 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,2
PT03M32.00S,4,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse REBOUND (Off:10 Def:9),Rebound,Unknown,0
PT03M32.00S,4,DAL,1630619,Cisse,M. Cisse,13,2,1,Made,1,134,115,249,h,Cisse 1' Putback Layup (16 PTS),Made Shot,Putback Layup Shot,2
PT03M32.00S,4,CHI,1642530,Kawamura,Y. Kawamura,0,0,0,,0,,,0,v,Kawamura S.FOUL (P2.T3) (B.Taylor),Foul,Shooting,0
PT03M32.00S,4,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,135,115,250,h,Cisse Free Throw 1 of 1 (17 PTS),Free Throw,Free Throw 1 of 1,0
PT03M26.00S,4,CHI,1642950,Olbrich,L. Olbrich,-1,6,1,Made,1,135,117,252,v,Olbrich 1' Dunk (8 PTS) (Dillingham 5 AST),Made Shot,Dunk Shot,2
PT03M09.00S,4,DAL,1641890,Smith,T. Smith,227,112,25,Missed,1,,,0,h,MISS Smith 25' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT03M09.00S,4,CHI,1631159,Miller,L. Miller,0,0,0,,0,,,0,v,Miller BLOCK (1 BLK),,,3
PT03M06.00S,4,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,Olbrich REBOUND (Off:5 Def:6),Rebound,Unknown,0
PT03M04.00S,4,CHI,1631159,Miller,L. Miller,0,6,1,Missed,1,,,0,v,MISS Miller 1' Running Dunk,Missed Shot,Running Dunk Shot,2
PT03M02.00S,4,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,Nembhard REBOUND (Off:2 Def:7),Rebound,Unknown,0
PT02M52.00S,4,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,Olbrich S.FOUL (P2.T4) (B.Taylor),Foul,Shooting,0
PT02M52.00S,4,,1610612741,,,0,0,0,,0,,,0,v,Bulls Timeout: Regular (Reg.5 Short 0),Timeout,Regular,0
PT02M52.00S,4,CHI,1631159,Miller,L. Miller,0,0,0,,0,,,0,v,SUB: Gueye FOR Miller,Substitution,,0
PT02M52.00S,4,DAL,1642358,Johnson,A. Johnson,0,0,0,,0,136,117,253,h,Johnson Free Throw 1 of 2 (16 PTS),Free Throw,Free Throw 1 of 2,0
PT02M52.00S,4,DAL,1642358,Johnson,A. Johnson,0,0,0,,0,,,0,h,MISS Johnson Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0
PT02M50.00S,4,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,Olbrich REBOUND (Off:5 Def:7),Rebound,Unknown,0
PT02M34.00S,4,CHI,1630644,McClung,M. McClung,157,204,26,Missed,1,,,0,v,MISS McClung 26' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT02M31.00S,4,DAL,1641890,Smith,T. Smith,0,0,0,,0,,,0,h,Smith REBOUND (Off:1 Def:6),Rebound,Unknown,0
PT02M24.00S,4,DAL,1642948,Nembhard,R. Nembhard,20,257,26,Made,1,139,117,256,h,Nembhard 26' 3PT Step Back Jump Shot (15 PTS),Made Shot,Step Back Jump shot,3
PT02M13.00S,4,CHI,1642530,Kawamura,Y. Kawamura,-23,1,2,Made,1,139,119,258,v,Kawamura 2' Driving Layup (14 PTS),Made Shot,Driving Layup Shot,2
PT01M57.00S,4,DAL,1641890,Smith,T. Smith,233,63,24,Made,1,142,119,261,h,Smith 24' 3PT Jump Shot (20 PTS) (Nembhard 22 AST),Made Shot,Jump Shot,3
PT01M46.00S,4,CHI,1642530,Kawamura,Y. Kawamura,-176,177,25,Missed,1,,,0,v,MISS Kawamura 25' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT01M44.00S,4,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,Olbrich REBOUND (Off:6 Def:7),Rebound,Unknown,0
PT01M44.00S,4,CHI,1642950,Olbrich,L. Olbrich,-7,5,1,Made,1,142,121,263,v,Olbrich 1' Putback Layup (10 PTS),Made Shot,Putback Layup Shot,2
PT01M35.00S,4,DAL,1630619,Cisse,M. Cisse,-16,12,2,Missed,1,,,0,h,MISS Cisse 2' Layup,Missed Shot,Layup Shot,2
PT01M33.00S,4,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,Olbrich REBOUND (Off:6 Def:8),Rebound,Unknown,0
PT01M29.00S,4,CHI,1631338,Gueye,M. Gueye,-6,3,1,Made,1,142,123,265,v,Gueye 1' Running Dunk (11 PTS) (Olbrich 9 AST),Made Shot,Running Dunk Shot,2
PT01M10.00S,4,CHI,1630644,McClung,M. McClung,0,0,0,,0,,,0,v,McClung P.FOUL (P3.PN) (J.Butler),Foul,Personal,0
PT01M10.00S,4,DAL,1642358,Johnson,A. Johnson,0,0,0,,0,143,123,266,h,Johnson Free Throw 1 of 2 (17 PTS),Free Throw,Free Throw 1 of 2,0
PT01M10.00S,4,DAL,1642358,Johnson,A. Johnson,0,0,0,,0,144,123,267,h,Johnson Free Throw 2 of 2 (18 PTS),Free Throw,Free Throw 2 of 2,0
PT01M01.00S,4,CHI,1642530,Kawamura,Y. Kawamura,-197,148,25,Missed,1,,,0,v,MISS Kawamura 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,3
PT00M58.10S,4,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,Olbrich REBOUND (Off:7 Def:8),Rebound,Unknown,0
PT00M52.40S,4,CHI,1642265,Dillingham,R. Dillingham,-210,140,25,Missed,1,,,0,v,MISS Dillingham 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,3
PT00M46.20S,4,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse REBOUND (Off:10 Def:10),Rebound,Unknown,0
PT00M39.70S,4,DAL,1642967,Poulakidas,J. Poulakidas,203,147,25,Made,1,147,123,270,h,Poulakidas 25' 3PT Pullup Jump Shot (28 PTS) (Nembhard 23 AST),Made Shot,Pullup Jump shot,3
PT00M34.40S,4,CHI,1630644,McClung,M. McClung,10,0,1,Made,1,147,125,272,v,McClung 1' Cutting Layup Shot (10 PTS) (Kawamura 1 AST),Made Shot,Cutting Layup Shot,2
PT00M34.40S,4,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,Nembhard S.FOUL (P2.PN) (J.Butler),Foul,Shooting,0
PT00M34.40S,4,CHI,1630644,McClung,M. McClung,0,0,0,,0,147,126,273,v,McClung Free Throw 1 of 1 (11 PTS),Free Throw,Free Throw 1 of 1,0
PT00M20.70S,4,DAL,1642358,Johnson,A. Johnson,2,15,2,Made,1,149,126,275,h,Johnson 2' Driving Layup (20 PTS),Made Shot,Driving Layup Shot,2
PT00M17.90S,4,CHI,1630644,McClung,M. McClung,-12,3,1,Made,1,149,128,277,v,McClung 1' Driving Layup (13 PTS) (Olbrich 10 AST),Made Shot,Driving Layup Shot,2
PT00M00.00S,4,,0,,,0,0,0,,0,149,128,277,,End of 4th Period (10:49 PM EST),period,end,0
